"org_code","org_name","type","area","region"
"REM","Liverpool University Hospitals NHS Foundation Trust","Acute","Cheshire and Merseyside","North West"
"REP","Liverpool Women’s Hospital NHS Foundation Trust","Gynaecology","Cheshire and Merseyside","North West"
"R1K","London North West University Healthcare NHS Trust","Acute","North West London","London"
"RWF","Maidstone and Tunbridge Wells NHS Trust","Acute","Kent and Medway","South East"
"R0A","Manchester University NHS Foundation Trust","Acute","Greater Manchester","North West"
"RPA","Medway NHS Foundation Trust","Acute","Kent and Medway","South East"
"RBN","Mersey and West Lancashire Teaching Hospitals NHS Trust","Acute","Cheshire and Merseyside","North West"
"RW4","Mersey Care NHS Foundation Trust","Mental Health Trust","Cheshire and Merseyside","North West"
"RAJ","Mid and South Essex NHS Foundation Trust","Acute","Mid and South Essex","East of England"
"RBT","Mid-Cheshire Hospital NHS Foundation Trust","Acute","Cheshire and Merseyside","North West"
"RRE","Midlands Partnership NHS Foundation Trust","Mental Health Trust","Staffordshire and Stoke on Trent","Midlands"
"RD8","Milton Keynes University Hospital NHS Foundation Trust","Acute","Bedfordshire, Luton and Milton Keynes","East of England"
"RTD","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","Acute","North East and North Cumbria","North East and Yorkshire"
"RM1","Norfolk and Norwich University Hospitals NHS Foundation Trust","Acute","Norfolk and Waveney","East of England"
"RMY","Norfolk and Suffolk NHS Foundation Trust","Mental Health Trust","Norfolk and Waveney","East of England"
"RY3","Norfolk Community Health & Care NHS Trust","Community","Norfolk and Waveney","East of England"
"RVJ","North Bristol NHS Trust","Acute","Bristol, North Somerset and South Gloucestershire","South West"
"RNN","North Cumbria Integrated Care NHS Foundation Trust","Acute","North East and North Cumbria","North East and Yorkshire"
"RAT","North East London NHS Foundation Trust","Mental Health Trust","North East London","London"
"RAP","North Middlesex University Hospital NHS Trust","Acute","North Central London","London"
"RLY","North Staffordshire Combined Healthcare NHS Trust","Mental Health Trust","Staffordshire and Stoke on Trent","Midlands"
"RVW","North Tees and Hartlepool NHS Foundation Trust","Acute","North East and North Cumbria","North East and Yorkshire"
"RGN","North West Anglia NHS Foundation Trust","Acute","Cambridgeshire and Peterborough","East of England"
"RTV","North West Boroughs Healthcare NHS Foundation Trust","Mental Health Trust","Cheshire and Merseyside","North West"
"RNS","Northampton General Hospital NHS Trust","Acute","Northamptonshire","Midlands"
"RP1","Northamptonshire Healthcare NHS Foundation Trusts","Mental Health Trust","Northamptonshire","Midlands"
"RM3","Northern Care Alliance NHS Foundation Trust","Acute","Greater Manchester","North West"
"RJL","Northern Lincolnshire and Goole NHS Foundation Trust","Acute","Humber and North Yorkshire","North East and Yorkshire"
"RTF","Northumbria Healthcare NHS Foundation Trust","Acute","North East and North Cumbria","North East and Yorkshire"
"RX1","Nottingham University Hospitals NHS Trust","Acute","Nottingham and Nottinghamshire","Midlands"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","Mental Health Trust","Nottingham and Nottinghamshire","Midlands"
"RNU","Oxford Health NHS Foundation Trust","Mental Health Trust","Buckinghamshire, Oxfordshire and Berkshire West","South East"
"RTH","Oxford University Hospitals NHS Foundation Trust","Acute","Buckinghamshire, Oxfordshire and Berkshire West","South East"
"RPG","Oxleas NHS Foundation Trust","Mental Health Trust","South East London","London"
"RT2","Pennine Care NHS Foundation Trust","Mental Health Trust","Greater Manchester","North West"
"RHU","Portsmouth Hospitals University NHS Trust","Acute","Hampshire and the Isle of Wight","South East"
"RQW","The Princess Alexandra Hospital NHS Trust","Acute","Hertfordshire and West Essex","East of England"
"RCX","The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust","Acute","Norfolk and Waveney","East of England"
"RPC","Queen Victoria Hospital NHS Foundation Trust","Specialist Reconstructive Surgery","Sussex","South East"
"RXE","Rotherham, Doncaster and South Humber NHS Foundation Trust","Mental Health Trust","South Yorkshire","North East and Yorkshire"
"RHW","Royal Berkshire NHS Foundation Trust","Acute","Buckinghamshire, Oxfordshire and Berkshire West","South East"
"REF","Royal Cornwall Hospitals NHS Trust","Acute","Cornwall and the Isles of Scilly","South West"
"RH8","Royal Devon University Healthcare NHS Foundation Trust","Acute","Devon","South West"
"RAL","Royal Free London NHS Foundation Trust","Acute","North Central London","London"
"RAN","Royal National Orthopaedic Hospital NHS Trust","Orthopaedic","North Central London","London"
"RGM","Royal Papworth Hospital NHS Foundation Trust","Cardiothoracic","Cambridgeshire and Peterborough","East of England"
"RA2","Royal Surrey NHS Foundation Trust","Acute","Surrey Heartlands","South East"
"RD1","Royal United Hospitals Bath NHS Foundation Trust","Acute","Bath and North East Somerset, Swindon and Wiltshire","South West"
"RNZ","Salisbury NHS Foundation Trust","Acute","Bath and North East Somerset, Swindon and Wiltshire","South West"
"RXK","Sandwell and West Birmingham Hospitals NHS Trust","Acute","Black Country","Midlands"
"RCU","Sheffield Children’s NHS Foundation Trust","Acute","South Yorkshire","North East and Yorkshire"
"TAH","Sheffield Health and Social Care NHS Foundation Trust","Mental Health Trust","South Yorkshire","North East and Yorkshire"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","Acute","South Yorkshire","North East and Yorkshire"
"RK5","Sherwood Forest Hospitals NHS Foundation Trust","Acute","Nottingham and Nottinghamshire","Midlands"
"RXW","The Shrewsbury and Telford Hospital NHS Trust","Acute","Shropshire, Telford and Wrekin","Midlands"
"R1D","Shropshire Community Health NHS Trust","Community","Shropshire, Telford and Wrekin","Midlands"
"R1C","Solent NHS Trust","Mental Health Trust","Hampshire and the Isle of Wight","South East"
"RH5","Somerset NHS Foundation Trust","Mental Health Trust","Somerset","South West"
"RV5","South London And Maudsley NHS Foundation Trust","Mental Health Trust","South East London","London"
"RTR","South Tees Hospitals NHS Foundation Trust","Acute","North East and North Cumbria","North East and Yorkshire"
"R0B","South Tyneside and Sunderland NHS Foundation Trust","Acute","North East and North Cumbria","North East and Yorkshire"
"RJC","South Warwickshire NHS Foundation Trust","Acute","Coventry and Warwickshire","Midlands"
"RQY","South West London and St George’s Mental Health NHS Trust","Mental Health Trust","South West London","London"
"RXG","South West Yorkshire Partnership NHS Foundation Trust","Mental Health Trust","West Yorkshire","North East and Yorkshire"
"RW1","Southern Health NHS Foundation Trust","Mental Health Trust","Hampshire and the Isle of Wight","South East"
"RJ7","St George’s University Hospitals NHS Foundation Trust","Acute","South West London","London"
"RWJ","Stockport NHS Foundation Trust","Acute","Greater Manchester","North West"
"RXX","Surrey and Borders Partnership NHS Foundation Trust","Mental Health Trust","Surrey Heartlands","South East"
"RTP","Surrey and Sussex Hospital NHS Trust","Acute","Surrey Heartlands","South East"
"RDR","Sussex Community NHS Foundation Trust","Community","Sussex","South East"
"RX2","Sussex Partnership NHS Foundation Trust","Mental Health Trust","Sussex","South East"
"RMP","Tameside and Glossop Integrated Care NHS Foundation Trust","Acute","Greater Manchester","North West"
"RNK","Tavistock and Portman NHS Foundation Trust","Mental Health Trust","North Central London","London"
"RX3","Tees, Esk and Wear Valleys NHS Foundation Trust","Mental Health Trust","North East and North Cumbria","North East and Yorkshire"
"RBV","The Christie NHS Foundation Trust","Acute","Greater Manchester","North West"
"RNA","The Dudley Group NHS Foundation Trust","Acute","Black Country","Midlands"
"RAS","The Hillingdon Hospitals NHS Foundation Trust","Acute","North West London","London"
"RXF","Mid Yorkshire Hospitals NHS Trust","Acute","West Yorkshire","North East and Yorkshire"
"RL1","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","Orthopaedic","Shropshire, Telford and Wrekin","Midlands"
"RFR","The Rotherham NHS Foundation Trust","Acute","South Yorkshire","North East and Yorkshire"
"RPY","The Royal Marsden NHS Foundation Trust","Cancer","South West London","London"
"RRJ","The Royal Orthopaedic Hospital NHS Foundation Trust","Orthopaedic","Birmingham and Solihull","Midlands"
"RL4","The Royal Wolverhampton NHS Trust","Acute","Black Country","Midlands"
"RET","The Walton Centre NHS Foundation Trust",,"Cheshire and Merseyside","North West"
"RA9","Torbay and South Devon NHS Foundation Trust","Acute","Devon","South West"
"RWD","United Lincolnshire Hospitals NHS Trust","Acute","Lincolnshire","Midlands"
"RRV","University College London Hospitals NHS Foundation Trust","Acute","North Central London","London"
"RHM","University Hospital Southampton NHS Foundation Trust","Acute","Hampshire and the Isle of Wight","South East"
"RRK","University Hospitals Birmingham NHS Foundation Trust","Acute","Birmingham and Solihull","Midlands"
"RA7","University Hospitals Bristol and Weston NHS Foundation Trust","Acute","Bristol, North Somerset and South Gloucestershire","South West"
"RKB","University Hospitals Coventry and Warwickshire NHS Trust","Acute","Coventry and Warwickshire","Midlands"
"R0D","University Hospitals Dorset NHS Foundation Trust","Acute","Dorset","South West"
"RTG","University Hospitals of Derby and Burton NHS Foundation Trust","Acute","Derby and Derbyshire","Midlands"
"RWE","University Hospitals of Leicester NHS Trust","Acute","Leicester, Leicestershire and Rutland","Midlands"
"RTX","University Hospitals of Morecambe Bay NHS Foundation Trust","Acute","Lancashire and South Cumbria","North West"
"RJE","University Hospitals of North Midlands NHS Trust","Acute","Staffordshire and Stoke on Trent","Midlands"
"RK9","University Hospitals Plymouth NHS Trust","Acute","Devon","South West"
"RYR","University Hospitals Sussex NHS Foundation Trust","Acute","Sussex","South East"
"RQF","Velindre NHS Trust (Not including in this version",,"Wales","Wales"
"RBK","Walsall Healthcare NHS Trust","Acute","Black Country","Midlands"
"RWW","Warrington and Halton Teaching Hospitals NHS Foundation Trust","Acute","Cheshire and Merseyside","North West"
"RWG","West Hertfordshire Hospitals NHS Trust","Acute","Hertfordshire and West Essex","East of England"
"RKL","West London NHS Trust","Mental Health Trust","North West London","London"
"RGR","West Suffolk NHS Foundation Trust","Acute","Suffolk and North East Essex","East of England"
"RKE","Whittington Health NHS Trust","Acute","North Central London","London"
"RY7","Wirral Community Health and Care NHS Foundation Trust","Community","Cheshire and Merseyside","North West"
"RBL","Wirral University Teaching Hospital NHS Foundation Trust","Acute","Cheshire and Merseyside","North West"
"RWP","Worcestershire Acute Hospitals NHS Trust","Acute","Herefordshire and Worcestershire","Midlands"
"RRF","Wrightington, Wigan and Leigh NHS Foundation Trust","Acute","Greater Manchester","North West"
"RLQ","Wye Valley NHS Trust","Acute","Herefordshire and Worcestershire","Midlands"
"RA4","Yeovil District Hospital NHS Foundation Trust","Acute","Somerset","South West"
"RCB","York and Scarborough Teaching Hospitals NHS Foundation Trust","Acute","Humber and North Yorkshire","North East and Yorkshire"
